,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
339,female,group D,some high school,free/reduced,completed,married,sometimes,yes,3,school_bus,5 - 10,35,55,60
340,male,group C,high school,free/reduced,none,married,regularly,yes,1,school_bus,> 10,61,62,54
341,female,group C,,standard,none,married,regularly,yes,0,,5 - 10,62,74,64
342,female,group B,,standard,completed,single,sometimes,yes,1,school_bus,< 5,66,74,72
343,male,group D,associate's degree,standard,completed,single,sometimes,yes,3,private,< 5,64,70,65
344,male,group D,some college,standard,none,,regularly,yes,2,school_bus,< 5,78,72,67
345,female,group C,high school,standard,none,married,sometimes,yes,4,private,5 - 10,72,80,75
346,male,group B,,standard,none,married,sometimes,no,2,school_bus,5 - 10,62,61,57
347,female,group C,bachelor's degree,standard,completed,married,regularly,yes,0,,< 5,76,93,95
349,male,group E,associate's degree,standard,none,divorced,regularly,yes,2,private,> 10,92,76,79
350,female,group B,bachelor's degree,standard,none,married,sometimes,yes,0,private,5 - 10,52,65,69
351,male,group E,some college,standard,none,married,,no,4,school_bus,> 10,67,57,53
352,female,group C,some college,standard,completed,married,sometimes,no,1,school_bus,< 5,61,76,78
353,female,group C,associate's degree,standard,none,married,regularly,no,1,private,< 5,45,57,57
354,female,group C,some college,standard,none,married,never,yes,2,,< 5,55,68,66
355,female,group B,bachelor's degree,standard,none,single,regularly,no,3,school_bus,> 10,64,74,73
356,male,group A,,standard,none,married,sometimes,no,2,private,5 - 10,63,61,61
357,female,group C,some college,free/reduced,completed,married,sometimes,yes,1,private,< 5,40,65,67
359,female,group D,some college,standard,none,divorced,sometimes,no,1,private,< 5,77,88,87
360,female,group B,high school,standard,none,married,never,yes,1,school_bus,5 - 10,56,61,57
361,male,group B,some high school,standard,completed,single,regularly,yes,3,private,5 - 10,87,85,79
362,female,group C,some college,standard,none,single,regularly,no,2,private,5 - 10,53,58,59
363,female,group D,some high school,free/reduced,none,single,sometimes,no,3,school_bus,< 5,26,33,31
364,male,group C,some college,standard,none,divorced,regularly,yes,1,school_bus,5 - 10,60,60,59
365,male,group A,bachelor's degree,free/reduced,completed,married,regularly,no,2,private,> 10,51,59,62
366,male,group C,high school,standard,completed,married,sometimes,yes,2,,5 - 10,69,58,53
367,male,group C,bachelor's degree,free/reduced,none,married,regularly,,3,private,> 10,64,67,63
368,female,group A,some high school,free/reduced,none,single,sometimes,yes,2,private,5 - 10,44,64,58
369,female,group D,some high school,standard,none,single,regularly,yes,5,school_bus,5 - 10,71,83,84
370,male,group E,some college,standard,none,married,regularly,yes,3,private,5 - 10,86,78,72
371,female,group C,some college,free/reduced,completed,single,sometimes,no,4,school_bus,5 - 10,45,73,70
372,male,group D,some high school,standard,none,single,sometimes,yes,0,private,> 10,76,75,73
373,female,group D,some college,standard,completed,married,sometimes,yes,1,private,> 10,84,98,97
374,female,group D,bachelor's degree,standard,none,married,sometimes,yes,0,,> 10,60,71,74
376,female,group D,some high school,standard,none,single,sometimes,no,2,school_bus,> 10,82,91,83
377,female,group D,master's degree,free/reduced,completed,single,sometimes,yes,,private,5 - 10,85,95,100
378,female,group A,some high school,standard,none,single,sometimes,no,1,private,> 10,73,84,78
379,male,group A,bachelor's degree,standard,none,married,regularly,yes,1,private,5 - 10,67,64,63
380,female,group B,associate's degree,standard,none,single,sometimes,yes,1,school_bus,5 - 10,80,86,83
381,male,group C,associate's degree,standard,completed,divorced,sometimes,yes,0,private,< 5,84,98,93
382,male,group C,master's degree,free/reduced,none,married,sometimes,no,2,,5 - 10,79,82,73
383,female,group E,some high school,free/reduced,none,divorced,regularly,yes,3,private,> 10,40,50,47
384,female,group A,some high school,free/reduced,none,divorced,never,no,5,private,5 - 10,35,41,40
385,female,group E,some college,standard,none,divorced,regularly,yes,2,private,5 - 10,69,77,76
386,female,group E,bachelor's degree,standard,none,single,sometimes,yes,0,school_bus,< 5,62,71,68
387,female,group C,,free/reduced,none,widowed,regularly,yes,4,school_bus,5 - 10,58,79,68
388,female,group D,high school,standard,none,single,sometimes,yes,3,private,5 - 10,62,64,64
389,male,group D,master's degree,standard,none,married,sometimes,no,1,school_bus,< 5,71,70,75
390,male,group E,some high school,free/reduced,completed,single,regularly,yes,0,private,5 - 10,75,68,60
391,female,group D,some college,standard,none,single,sometimes,no,3,private,< 5,74,66,75
392,male,group E,some college,standard,none,married,sometimes,yes,3,school_bus,> 10,78,68,68
393,male,group C,associate's degree,standard,completed,divorced,regularly,yes,4,private,> 10,60,55,58
394,female,group C,some high school,standard,completed,single,sometimes,no,,school_bus,5 - 10,65,74,77
396,female,group B,high school,free/reduced,none,married,never,no,5,school_bus,5 - 10,48,65,61
398,male,group B,some high school,standard,none,single,regularly,yes,0,school_bus,< 5,73,62,57
399,male,group D,some high school,standard,none,single,never,no,4,private,< 5,56,57,51
400,female,group C,some high school,standard,completed,married,regularly,yes,3,private,5 - 10,60,54,68
401,male,group A,some college,standard,,married,sometimes,no,1,school_bus,,53,43,43
402,female,group A,some college,free/reduced,none,married,regularly,no,2,school_bus,> 10,51,66,57
403,female,group D,high school,standard,completed,single,sometimes,yes,4,private,5 - 10,88,99,100
404,female,group C,high school,standard,none,single,regularly,yes,0,school_bus,5 - 10,55,59,63
405,female,group C,some high school,standard,none,married,regularly,yes,,,< 5,62,72,68
406,male,group B,associate's degree,standard,completed,married,regularly,no,3,school_bus,> 10,68,66,65
407,female,group B,associate's degree,standard,,married,regularly,yes,3,school_bus,5 - 10,84,81,78
408,female,group D,high school,free/reduced,completed,divorced,sometimes,no,2,school_bus,5 - 10,52,57,56
409,male,group D,associate's degree,standard,completed,widowed,never,no,5,school_bus,> 10,86,83,84
410,female,group D,master's degree,standard,completed,,regularly,yes,2,private,5 - 10,72,73,78
411,male,,some college,standard,completed,widowed,regularly,yes,4,school_bus,5 - 10,86,84,79
412,male,group D,associate's degree,standard,none,married,sometimes,yes,3,private,,71,66,60
414,female,group C,,free/reduced,,married,regularly,yes,3,school_bus,5 - 10,52,73,80
415,male,group E,high school,standard,none,single,regularly,no,3,private,5 - 10,86,74,70
416,male,group C,bachelor's degree,standard,completed,married,sometimes,yes,3,private,< 5,68,72,66
417,male,group C,associate's degree,standard,none,married,sometimes,yes,3,,< 5,71,71,65
418,male,group D,some college,standard,none,married,regularly,no,4,private,5 - 10,70,59,63
419,male,group E,high school,free/reduced,completed,married,sometimes,no,3,private,5 - 10,57,56,54
421,female,group D,high school,standard,completed,married,regularly,no,2,,< 5,56,57,64
422,female,group D,master's degree,free/reduced,completed,divorced,never,yes,0,private,> 10,47,59,68
423,female,group A,some high school,standard,completed,married,sometimes,yes,0,,< 5,57,83,78
424,male,,some college,free/reduced,none,married,,no,2,private,5 - 10,41,39,34
425,female,,some college,free/reduced,none,single,sometimes,yes,3,school_bus,< 5,60,65,60
426,male,group C,bachelor's degree,standard,none,married,regularly,yes,2,school_bus,5 - 10,88,84,88
427,male,group C,some high school,free/reduced,none,single,regularly,yes,0,private,5 - 10,71,72,66
428,male,group A,some high school,free/reduced,,single,sometimes,yes,1,private,,65,59,53
429,male,group C,some high school,free/reduced,none,married,sometimes,no,3,school_bus,> 10,70,63,55
430,male,,associate's degree,free/reduced,none,married,sometimes,,1,private,< 5,62,65,57
431,female,group C,high school,standard,none,single,sometimes,yes,3,school_bus,,61,72,70
432,male,group C,high school,standard,none,single,never,yes,4,school_bus,< 5,57,54,52
433,female,group A,some high school,free/reduced,none,divorced,sometimes,no,,school_bus,< 5,45,58,49
434,male,group C,,standard,none,married,sometimes,no,1,,> 10,75,66,67
435,male,,some college,free/reduced,completed,married,sometimes,no,7,private,5 - 10,50,48,53
436,male,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,5 - 10,77,69,65
437,male,group D,,free/reduced,none,divorced,sometimes,yes,1,private,5 - 10,75,66,73
438,male,group C,high school,standard,,single,regularly,yes,0,school_bus,< 5,69,55,51
439,male,group D,some high school,standard,completed,married,sometimes,,0,school_bus,5 - 10,89,88,82
440,female,group C,,standard,completed,single,regularly,no,1,school_bus,5 - 10,69,82,80
441,female,group D,high school,standard,none,married,sometimes,yes,2,,,78,81,80
442,female,group A,some high school,free/reduced,none,married,sometimes,yes,2,school_bus,5 - 10,59,73,69
443,female,,associate's degree,standard,none,,sometimes,no,1,school_bus,< 5,70,81,74
444,male,group A,some high school,free/reduced,none,married,sometimes,yes,0,school_bus,5 - 10,79,82,73
445,female,group C,some high school,standard,completed,divorced,regularly,,3,,5 - 10,69,75,78
446,male,group D,some college,free/reduced,none,,regularly,yes,1,school_bus,> 10,73,67,62
447,male,group C,high school,standard,completed,single,regularly,yes,2,school_bus,> 10,91,83,83
448,male,group B,high school,standard,none,widowed,regularly,yes,4,school_bus,5 - 10,48,46,43
449,male,group B,associate's degree,standard,none,single,regularly,yes,,school_bus,5 - 10,83,74,73
450,female,group C,some college,free/reduced,completed,divorced,sometimes,yes,3,private,5 - 10,64,85,85
451,female,group E,some college,standard,none,married,sometimes,,5,school_bus,5 - 10,100,92,97
452,female,group C,associate's degree,free/reduced,none,married,regularly,no,1,school_bus,> 10,68,79,77
453,male,group C,some college,free/reduced,none,married,never,yes,3,private,> 10,64,57,48
454,female,group C,associate's degree,free/reduced,none,,regularly,yes,3,private,5 - 10,54,61,63
455,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,0,school_bus,5 - 10,37,56,47
456,female,group D,bachelor's degree,standard,none,divorced,sometimes,no,3,school_bus,5 - 10,79,89,89
457,male,group D,associate's degree,free/reduced,none,single,regularly,yes,1,,5 - 10,54,54,49
458,female,group E,bachelor's degree,standard,none,married,regularly,,2,school_bus,,100,100,100
459,male,group B,high school,standard,,married,sometimes,no,4,,5 - 10,72,65,68
460,male,group C,bachelor's degree,free/reduced,none,married,regularly,no,1,private,< 5,52,57,55
461,male,group B,some college,free/reduced,none,married,sometimes,yes,1,school_bus,5 - 10,54,54,45
462,female,group E,some college,standard,none,divorced,never,no,1,private,5 - 10,68,68,74
463,female,group C,some college,free/reduced,none,widowed,sometimes,yes,4,school_bus,5 - 10,77,90,91
464,male,group A,bachelor's degree,standard,completed,divorced,sometimes,yes,,private,5 - 10,75,58,62
465,female,group C,some college,standard,none,married,sometimes,no,4,,5 - 10,84,87,91
466,female,group D,associate's degree,free/reduced,none,divorced,sometimes,no,1,school_bus,> 10,26,31,38
467,male,group A,high school,free/reduced,completed,married,regularly,no,7,school_bus,> 10,76,69,67
468,female,group A,high school,free/reduced,completed,single,regularly,yes,3,private,5 - 10,79,89,87
469,male,,some college,standard,none,married,regularly,yes,2,private,5 - 10,93,75,77
470,female,group C,associate's degree,standard,completed,divorced,sometimes,no,1,private,5 - 10,83,85,90
471,female,group C,high school,standard,,married,regularly,yes,0,private,< 5,62,68,74
472,female,group C,associate's degree,standard,completed,married,sometimes,yes,4,school_bus,5 - 10,68,86,84
473,female,group D,some high school,standard,none,married,sometimes,no,5,private,> 10,57,66,60
474,female,group B,associate's degree,standard,,single,sometimes,yes,2,private,5 - 10,90,90,91
475,female,group D,bachelor's degree,standard,completed,,sometimes,yes,3,,> 10,73,77,84
476,male,group E,bachelor's degree,standard,completed,single,sometimes,yes,2,school_bus,5 - 10,76,62,66
477,male,group D,,standard,none,married,sometimes,no,1,school_bus,5 - 10,80,68,72
478,female,group D,master's degree,standard,none,single,never,yes,1,private,5 - 10,53,64,70
479,male,group E,associate's degree,standard,none,single,sometimes,yes,4,school_bus,> 10,78,72,68
480,male,group B,high school,standard,completed,married,sometimes,yes,1,private,5 - 10,73,71,68
481,female,group D,associate's degree,free/reduced,,married,sometimes,yes,3,school_bus,5 - 10,52,59,56
482,male,,some college,free/reduced,none,married,sometimes,yes,2,private,> 10,70,69,62
483,male,group A,high school,standard,none,divorced,sometimes,yes,2,private,5 - 10,59,52,46
484,female,group B,associate's degree,standard,none,single,regularly,no,3,school_bus,< 5,48,51,54
485,male,group C,high school,standard,none,married,sometimes,no,,school_bus,< 5,67,72,69
486,male,group D,some college,free/reduced,none,married,sometimes,yes,3,private,5 - 10,61,47,56
487,female,group C,associate's degree,free/reduced,none,married,sometimes,,4,school_bus,5 - 10,60,75,74
488,male,group B,some high school,standard,completed,divorced,regularly,yes,1,school_bus,5 - 10,65,53,58
489,male,group A,associate's degree,free/reduced,completed,,never,yes,5,school_bus,5 - 10,76,80,79
490,female,group A,associate's degree,free/reduced,none,married,regularly,no,1,school_bus,< 5,64,84,76
491,female,group C,associate's degree,standard,,divorced,sometimes,,0,,5 - 10,64,64,70
492,female,group C,some college,standard,none,married,sometimes,no,1,school_bus,5 - 10,83,83,90
493,female,group C,bachelor's degree,standard,none,married,sometimes,yes,6,school_bus,< 5,78,86,88
494,female,group B,high school,standard,none,divorced,regularly,yes,2,school_bus,< 5,53,63,68
495,male,group D,high school,standard,completed,divorced,sometimes,yes,4,private,5 - 10,68,64,66
496,female,group C,some college,standard,none,married,regularly,no,3,school_bus,< 5,53,47,52
497,female,group D,some college,free/reduced,completed,,sometimes,no,1,school_bus,5 - 10,59,78,76
499,male,group E,some college,standard,none,married,sometimes,yes,3,school_bus,< 5,73,69,70
500,female,group D,master's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,74,80,84
501,female,group B,associate's degree,standard,completed,married,sometimes,yes,0,private,< 5,91,85,90
502,male,group C,some college,free/reduced,none,divorced,sometimes,yes,0,school_bus,,63,61,54
503,female,group E,associate's degree,standard,completed,married,regularly,yes,3,school_bus,> 10,100,91,96
504,female,group D,master's degree,free/reduced,none,single,regularly,yes,1,private,5 - 10,41,61,57
505,female,group B,some high school,standard,none,married,sometimes,yes,3,school_bus,< 5,79,80,78
506,male,group A,high school,standard,none,married,regularly,yes,1,school_bus,5 - 10,70,71,67
508,male,group C,,standard,none,single,sometimes,no,3,private,5 - 10,79,78,77
509,female,group C,bachelor's degree,standard,none,married,regularly,no,1,private,5 - 10,88,93,89
510,male,group D,some college,standard,none,married,sometimes,no,3,,5 - 10,76,71,73
511,male,group A,,standard,none,,sometimes,yes,2,,< 5,62,49,42
512,male,group D,some high school,free/reduced,none,married,regularly,no,2,school_bus,< 5,61,48,52
513,female,group B,some high school,standard,completed,divorced,regularly,yes,3,private,5 - 10,55,61,63
514,female,group B,master's degree,free/reduced,completed,single,sometimes,yes,3,school_bus,5 - 10,77,97,94
515,female,group C,some high school,standard,completed,married,sometimes,no,1,private,5 - 10,76,87,85
516,female,group D,some college,standard,none,married,sometimes,no,1,private,,74,89,84
517,female,group E,some college,standard,completed,divorced,never,yes,1,school_bus,5 - 10,64,72,71
518,female,group D,some high school,standard,completed,single,regularly,no,1,school_bus,5 - 10,67,79,79
519,female,group B,high school,free/reduced,completed,married,sometimes,no,5,school_bus,5 - 10,67,78,79
520,male,group D,,standard,none,married,sometimes,no,3,private,5 - 10,71,49,52
521,female,group C,associate's degree,standard,none,single,sometimes,yes,4,private,5 - 10,91,86,84
522,male,,bachelor's degree,standard,none,married,sometimes,yes,5,private,> 10,71,58,58
523,male,group C,master's degree,free/reduced,,widowed,regularly,yes,2,,5 - 10,56,61,52
524,male,group C,high school,standard,completed,married,sometimes,no,2,private,,53,52,49
525,male,,some college,standard,none,single,sometimes,yes,3,private,> 10,70,60,60
526,male,group C,some high school,free/reduced,completed,single,sometimes,yes,4,school_bus,< 5,54,60,58
527,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,,5 - 10,36,53,43
528,female,group D,bachelor's degree,free/reduced,none,single,sometimes,no,2,private,< 5,28,40,46
529,female,group C,associate's degree,standard,none,married,never,no,1,private,5 - 10,60,72,68
530,female,group C,associate's degree,standard,completed,married,,yes,1,private,5 - 10,68,67,73
531,female,group C,some high school,standard,none,married,never,yes,2,private,5 - 10,45,53,51
532,male,group E,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,60,60,56
533,female,group E,associate's degree,standard,completed,married,sometimes,no,4,school_bus,5 - 10,79,88,94
534,male,group B,high school,standard,completed,married,sometimes,no,1,school_bus,> 10,75,70,69
535,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,yes,5,private,5 - 10,66,83,83
536,male,,associate's degree,standard,completed,single,never,no,2,,< 5,47,58,55
537,female,group D,high school,standard,none,married,never,yes,1,school_bus,5 - 10,49,65,60
538,male,,bachelor's degree,standard,completed,,sometimes,no,2,school_bus,< 5,82,65,69
539,male,group A,associate's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,99,93,87
540,male,group C,high school,standard,completed,married,sometimes,no,1,private,5 - 10,75,69,68
541,male,,associate's degree,free/reduced,,single,sometimes,no,2,school_bus,< 5,76,80,78
542,female,,associate's degree,standard,none,divorced,regularly,yes,3,private,5 - 10,83,78,80
543,female,group D,associate's degree,standard,none,single,regularly,no,2,private,> 10,86,97,93
544,female,group D,,standard,none,married,sometimes,yes,2,,5 - 10,64,63,66
545,male,group E,some high school,free/reduced,completed,married,regularly,yes,1,school_bus,5 - 10,80,84,82
546,female,group A,some high school,standard,completed,married,sometimes,yes,3,school_bus,5 - 10,92,100,97
547,male,group C,high school,standard,completed,divorced,regularly,yes,2,private,< 5,71,66,64
548,female,group C,high school,free/reduced,none,married,regularly,no,5,school_bus,< 5,61,66,64
549,male,group C,master's degree,standard,none,married,sometimes,yes,1,school_bus,< 5,77,72,69
550,male,group C,some high school,free/reduced,none,,sometimes,yes,0,,< 5,76,74,63
551,male,group B,bachelor's degree,free/reduced,completed,married,regularly,no,2,private,5 - 10,89,91,90
552,female,group B,,standard,none,married,never,no,3,private,5 - 10,38,47,48
553,male,group D,some college,free/reduced,none,married,regularly,no,2,private,5 - 10,79,62,65
554,male,group E,associate's degree,standard,none,divorced,regularly,yes,1,private,> 10,56,46,41
555,female,group C,some college,free/reduced,,single,regularly,no,,private,> 10,33,40,34
557,male,group C,master's degree,free/reduced,none,single,regularly,yes,1,school_bus,5 - 10,63,69,69
558,female,group B,associate's degree,free/reduced,none,single,sometimes,no,2,school_bus,< 5,51,68,68
559,male,group D,some high school,standard,none,married,sometimes,yes,2,school_bus,> 10,75,66,63
560,female,group D,some college,standard,completed,divorced,sometimes,no,3,school_bus,,74,75,79
561,female,group C,some college,standard,none,single,regularly,yes,3,school_bus,> 10,66,76,77
562,male,group C,bachelor's degree,standard,completed,married,regularly,no,2,school_bus,< 5,95,89,92
563,female,group D,some college,free/reduced,completed,divorced,sometimes,yes,1,,5 - 10,63,80,80
564,male,group B,bachelor's degree,free/reduced,none,married,sometimes,,1,school_bus,< 5,46,50,45
565,male,group B,associate's degree,standard,none,divorced,sometimes,no,2,school_bus,< 5,46,42,44
566,female,group E,bachelor's degree,free/reduced,completed,single,never,no,4,private,5 - 10,89,98,97
567,female,group D,master's degree,free/reduced,completed,married,,yes,2,,5 - 10,61,72,80
568,male,group B,high school,free/reduced,none,married,regularly,yes,6,private,< 5,62,47,47
569,male,,bachelor's degree,free/reduced,none,single,regularly,yes,2,private,,70,69,68
570,male,group B,,standard,completed,divorced,regularly,yes,1,private,5 - 10,73,76,71
571,male,group A,bachelor's degree,standard,none,married,never,yes,1,school_bus,5 - 10,88,94,89
572,female,group C,some college,standard,,single,sometimes,no,5,private,> 10,54,62,57
573,female,group C,high school,free/reduced,completed,,sometimes,yes,1,school_bus,5 - 10,50,66,64
574,female,,high school,standard,none,,sometimes,no,1,private,> 10,76,82,72
575,male,group A,associate's degree,free/reduced,,married,sometimes,yes,7,school_bus,5 - 10,40,55,53
576,male,group A,some college,standard,completed,married,sometimes,yes,0,school_bus,5 - 10,61,51,52
577,female,group B,high school,standard,none,married,sometimes,yes,1,school_bus,< 5,78,89,87
578,female,group B,some college,free/reduced,completed,single,sometimes,no,1,school_bus,> 10,49,56,59
579,female,group D,master's degree,standard,none,married,regularly,no,3,school_bus,< 5,52,60,68
580,female,group D,some high school,standard,none,married,sometimes,no,2,school_bus,< 5,78,95,94
581,female,group E,some high school,standard,none,divorced,never,yes,3,school_bus,5 - 10,74,77,78
582,female,group D,bachelor's degree,free/reduced,none,widowed,sometimes,yes,1,school_bus,5 - 10,63,73,78
583,female,,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,> 10,75,76,81
586,female,group A,high school,standard,none,married,sometimes,yes,3,school_bus,5 - 10,55,73,73
587,female,group C,bachelor's degree,free/reduced,none,married,regularly,yes,1,school_bus,< 5,43,62,62
588,female,group C,some college,standard,none,,regularly,no,1,school_bus,< 5,53,63,65
589,female,group A,some high school,standard,none,single,sometimes,yes,1,,5 - 10,48,66,65
590,male,group C,some college,free/reduced,none,widowed,sometimes,no,3,private,< 5,56,56,52
591,male,,some high school,standard,none,widowed,sometimes,yes,5,school_bus,5 - 10,67,61,48
592,male,group E,bachelor's degree,standard,none,married,never,yes,,,5 - 10,65,66,62
593,female,,,standard,,married,sometimes,yes,3,private,5 - 10,74,76,73
594,female,group C,bachelor's degree,standard,completed,married,regularly,no,2,private,5 - 10,94,100,100
595,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,1,school_bus,> 10,57,80,73
596,male,group B,high school,free/reduced,none,married,regularly,no,2,school_bus,5 - 10,30,24,15
597,male,group A,some high school,standard,none,married,never,yes,1,,5 - 10,51,53,46
598,female,group D,high school,standard,none,married,sometimes,yes,4,school_bus,> 10,71,78,74
599,female,group D,some high school,standard,none,single,sometimes,no,1,school_bus,5 - 10,65,82,81
600,female,,master's degree,standard,none,single,sometimes,yes,1,private,< 5,52,60,63
601,female,group C,high school,standard,none,divorced,sometimes,no,1,school_bus,5 - 10,29,29,30
602,female,group E,some college,standard,none,married,sometimes,no,2,school_bus,5 - 10,76,78,80
603,male,group D,high school,free/reduced,none,married,sometimes,yes,1,school_bus,5 - 10,60,57,51
604,male,group D,master's degree,free/reduced,completed,married,sometimes,,,school_bus,< 5,81,87,88
605,male,group C,some high school,standard,none,divorced,sometimes,yes,3,private,< 5,72,70,60
606,female,group C,associate's degree,standard,none,,never,yes,,school_bus,5 - 10,82,82,79
607,female,group C,master's degree,free/reduced,none,married,sometimes,yes,1,private,5 - 10,40,59,55
608,female,,some college,standard,,divorced,never,yes,0,private,5 - 10,59,63,60
609,female,group B,associate's degree,standard,none,married,regularly,no,1,school_bus,< 5,57,62,65
610,male,group D,some college,free/reduced,completed,married,sometimes,yes,5,school_bus,5 - 10,69,60,63
611,female,group C,some college,standard,none,married,sometimes,yes,3,school_bus,< 5,56,58,64
612,male,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,private,< 5,91,88,89
614,female,group A,associate's degree,standard,none,married,sometimes,no,4,school_bus,5 - 10,82,93,93
615,female,group C,high school,standard,none,married,sometimes,yes,1,school_bus,5 - 10,60,68,72
616,female,group E,bachelor's degree,standard,none,single,sometimes,,4,school_bus,5 - 10,37,45,38
617,male,group D,bachelor's degree,standard,none,,sometimes,no,3,,5 - 10,88,78,83
618,male,group D,master's degree,standard,none,married,sometimes,yes,1,school_bus,5 - 10,95,82,86
619,male,,associate's degree,free/reduced,completed,married,never,no,3,,< 5,61,70,64
620,female,group C,high school,free/reduced,none,single,sometimes,yes,2,school_bus,> 10,36,61,55
621,male,group B,,free/reduced,none,single,regularly,,3,private,5 - 10,63,63,57
622,male,group C,high school,free/reduced,completed,married,sometimes,yes,2,private,> 10,59,51,53
623,male,group A,some college,standard,completed,divorced,never,yes,4,private,5 - 10,97,94,83
624,female,,bachelor's degree,free/reduced,none,married,regularly,no,2,private,< 5,60,57,62
625,male,group D,some college,standard,completed,married,regularly,yes,0,,< 5,99,96,99
626,male,group B,associate's degree,free/reduced,completed,divorced,never,yes,1,school_bus,5 - 10,66,68,61
627,male,group D,associate's degree,standard,none,divorced,sometimes,no,1,school_bus,,61,48,46
628,male,group D,some college,free/reduced,none,married,regularly,no,2,school_bus,5 - 10,50,57,47
629,female,group C,some high school,standard,completed,married,regularly,yes,0,school_bus,5 - 10,45,51,56
630,male,group D,some college,standard,none,single,never,yes,1,private,5 - 10,64,63,68
631,male,group B,high school,standard,none,widowed,regularly,yes,2,private,5 - 10,81,60,66
632,female,group B,bachelor's degree,standard,completed,married,sometimes,yes,2,school_bus,> 10,67,75,82
633,female,group C,high school,standard,none,married,sometimes,no,5,school_bus,5 - 10,75,88,85
635,male,group A,high school,standard,none,married,sometimes,yes,0,school_bus,5 - 10,71,74,64
637,female,group D,some high school,standard,completed,single,never,,2,private,< 5,75,89,84
638,male,group E,some college,standard,,married,regularly,yes,2,private,5 - 10,88,77,75
639,female,group D,,standard,none,single,never,yes,2,school_bus,5 - 10,73,72,71
640,male,group D,high school,standard,none,single,sometimes,no,3,school_bus,> 10,42,52,52
641,female,group D,associate's degree,free/reduced,completed,,sometimes,yes,1,school_bus,> 10,76,89,91
642,female,group B,some high school,free/reduced,none,married,never,yes,2,private,< 5,67,78,75
643,female,group E,high school,standard,completed,single,regularly,yes,,private,5 - 10,76,80,82
644,male,group B,high school,standard,none,single,sometimes,yes,1,school_bus,< 5,67,64,58
645,female,group B,bachelor's degree,standard,completed,married,never,yes,1,school_bus,5 - 10,63,79,78
646,female,,associate's degree,standard,none,married,regularly,yes,4,school_bus,> 10,62,72,67
647,female,group E,,free/reduced,none,single,sometimes,yes,2,private,< 5,62,61,66
648,female,,high school,standard,none,single,regularly,yes,2,private,5 - 10,51,53,56
649,female,group D,some college,standard,completed,divorced,never,yes,,private,5 - 10,66,77,78
650,male,group C,some high school,free/reduced,completed,single,sometimes,yes,3,,> 10,52,56,54
651,female,group A,high school,standard,completed,married,regularly,yes,7,private,5 - 10,70,81,77
652,female,group D,some college,standard,completed,married,sometimes,yes,2,school_bus,< 5,82,84,96
653,female,group A,associate's degree,standard,completed,single,sometimes,no,2,school_bus,5 - 10,65,70,74
654,female,group B,some high school,standard,none,divorced,sometimes,yes,1,school_bus,5 - 10,73,79,79
655,female,group B,some college,standard,none,married,sometimes,no,1,school_bus,,62,67,67
656,male,group C,associate's degree,free/reduced,none,married,sometimes,no,5,school_bus,> 10,79,68,65
657,male,group D,some high school,standard,none,married,sometimes,no,1,school_bus,> 10,71,66,62
658,female,group D,associate's degree,free/reduced,none,married,,yes,3,school_bus,5 - 10,43,60,58
659,male,group D,associate's degree,standard,none,divorced,sometimes,yes,4,private,5 - 10,90,87,85
661,male,group C,some high school,standard,none,married,never,no,2,,5 - 10,70,65,61
662,female,group D,some college,free/reduced,none,divorced,regularly,yes,2,private,< 5,54,70,69
663,female,group C,high school,standard,none,,sometimes,yes,5,school_bus,5 - 10,65,69,67
664,male,,associate's degree,standard,none,married,regularly,yes,1,private,,82,63,64
665,female,group C,some high school,free/reduced,completed,single,sometimes,no,2,,5 - 10,50,60,60
666,female,group C,some college,free/reduced,completed,married,sometimes,yes,2,school_bus,5 - 10,63,73,71
667,female,group B,bachelor's degree,free/reduced,none,married,sometimes,no,4,school_bus,< 5,74,83,85
668,male,group C,some college,standard,none,single,regularly,yes,5,,5 - 10,75,75,62
669,male,group D,associate's degree,standard,completed,single,sometimes,yes,3,private,5 - 10,81,72,77
670,female,group C,high school,free/reduced,none,married,never,no,2,school_bus,< 5,62,73,64
671,male,group D,associate's degree,free/reduced,none,married,sometimes,yes,0,school_bus,< 5,50,56,49
672,female,group C,some college,standard,none,married,regularly,yes,1,private,5 - 10,71,79,77
673,female,group C,associate's degree,standard,,married,sometimes,no,2,private,5 - 10,65,84,84
674,female,group D,high school,standard,completed,divorced,regularly,yes,2,private,5 - 10,71,78,79
675,female,group B,some college,standard,completed,married,sometimes,yes,2,,5 - 10,50,64,66
676,female,group E,some college,standard,completed,divorced,sometimes,yes,,school_bus,5 - 10,73,78,76
677,female,group C,,standard,completed,single,sometimes,no,1,school_bus,> 10,72,83,77
